Category,Sub Category,Product_id,Product_name,Price,Rating_value,Rating_count,Frequently_bought_together
Sách tiếng Việt ,Sách Bà mẹ - Em bé,532293,Học Montessori Để Dạy Trẻ Theo Phương Pháp Montessori - 60 Hoạt Động Montessori Giúp Trẻ Trưởng Thành: Chờ Con Lớn Thì Đã Muộn,48750,4.5,11,532279;532298;532292;
Sách tiếng Việt ,Sách văn học,369289,Tình Yêu Là Không Ai Muốn Bỏ Đi,63200,3.6,75,None
Sách tiếng Việt ,Sách Học Ngoại Ngữ,428619,"Tài Liệu Luyện Thi Năng Lực Hán Ngữ HSK (Tập 1) - Nguyên Bản Tiếng Trung, Kèm CD",45000,4.7,11,None
Sách tiếng Việt ,"Truyện Tranh, Manga, Comic",419494,Thám Tử Lừng Danh Conan 33 (Tái Bản 2014),16020,4.6,11,414773;419500;414859;414869;
Sách tiếng Việt ,Sách kỹ năng - Sống đẹp,404967,192 Hours - Giành Giật Sự Sống Từ Chuyến Bay Định Mệnh,54600,4.7,18,357949;434202;355054;398477;
Sách tiếng Việt ,Sách kinh tế,569636,Khiêu Vũ Với Ngòi Bút,91250,4.3,13,548026;558546;536584;505601;
Sách tiếng Việt ,Sách Bà mẹ - Em bé,416009,Dạy Con Kiểu Do Thái: Sự May Mắn Của Cái Đầu Gối Bị Trầy Xước,51000,4.5,14,398284;416005;486359;349584;
Sách tiếng Việt ,Sách Thường Thức - Đời Sống,436579,Ready To Cook: NO BAKED (40 Món Bánh Cực Ngon Không Cần Nướng),103200,3.6,85,458116;473756;492302;
Sách tiếng Việt ,"Truyện Tranh, Manga, Comic",648662,One Punch Man - Tập 5,17800,5,6,617391;655743;689034;718363;
Sách tiếng Việt ,Sách Tôn Giáo - Tâm Linh,1811559,Giận (Tái Bản 2018),63750,5,4,1404321;1660839;593472;2005423;
Sách văn học,Truyện ngắn - Tản văn,3549941,Sống Như Loài Mèo,53400,5,4,None
Sách tiếng Việt ,Sách Tham Khảo,515749,Làm Chủ Môn Hóa Trong 30 Ngày (Tập 2),150000,4.3,27,553368;515776;574545;478662;
Sách tiếng Việt ,Sách Thường Thức - Đời Sống,424277,Kỹ Thuật Làm Bánh Ngọt - Ngẫu Hứng Cùng Cake,52500,4.7,13,575179;424279;578874;
Sách tiếng Việt ,Sách Chính Trị - Pháp Lý,418344,Living History - Hồi Ký Hillary Clinton Và Chính Trường Nước Mỹ (Tái Bản 2014),255500,4.5,21,500621;548936;552225;
Sách tiếng Việt ,Sách Kiến Thức Tổng Hợp,440777,Quà Tặng Handmade,112000,4.5,21,355877;493791;493793;424991;
Sách tiếng Việt ,Sách thiếu nhi ,434867,Cuốn Sách Lớn Đầu Tiên Của Tớ - Động Vật,84000,4.5,17,434868;434866;434863;434865;
Sách tiếng Việt ,Sách Y Học,392128,6 Thời Kỳ Quan Trọng Để Dạy Trẻ,45000,4.3,11,375266;355380;373375;
Văn học Việt Nam,Tự truyện - Hồi ký ,918258,Luật Hấp Dẫn Của Nụ Cười,53000,4.6,13,1034048;582283;918818;541310;
Sách tiếng Việt ,Sách văn học,360994,Thành Phố Hoang Vắng,94500,4.1,30,400241;386918;385202;
Sách tiếng Việt ,Sách Tham Khảo,584548,Đã Thi Là Phải Giật Giải,66000,4.7,17,597190;515735;515814;564065;
Sách tiếng Việt ,Sách văn học,347937,Hứa Trao Em Kim Ngọc Lương Duyên,74250,4,41,346656;343824;395183;431216;
Văn học nước ngoài,Truyện kinh dị,860796,Người Lạ Trong Nhà,59250,4.8,11,817992;860786;733764;572781;
Sách Học Tiếng Anh,Luyện Kỹ Năng Tiếng Anh,1079972,Combo Ngữ Pháp Và GiảI Thích Ngữ Pháp Tiếng Anh Cơ Bản Và Nâng Cao 20/80,296000,4.5,19,787593;1006409;868929;826463;
Sách tiếng Việt ,Sách Tôn Giáo - Tâm Linh,1725001,Sống Như Nhân Duyên - Nghệ Thuật Nhìn Người,62300,4.8,8,1725003;1724999;1725011;1728431;
Văn học nước ngoài,Tự truyện - Hồi ký ,985825,Người Tị Nạn,99000,4.4,19,985785;970451;1256311;1016260;
Sách tiếng Việt ,"Truyện Tranh, Manga, Comic",419514,Thám Tử Lừng Danh Conan 12 (Tái Bản 2014),16020,4.7,10,414825;414908;414735;414773;
Sách kinh tế,Sách Marketing - Bán hàng ,797571,Sát Thủ Bán Hàng,298000,4.5,14,951269;1060416;1065032;958060;
Sách kỹ năng - Sống đẹp,Sách nghệ thuật sống đẹp,2995767,Độc Thân Sành Điệu,73000,4,1,None
Sách tiếng Việt ,Sách thiếu nhi ,393775,Danh Nhân Thế Giới - Lincôn (2014),19000,4.7,8,393786;393772;393779;
Văn học nước ngoài,Trinh thám - Phiêu lưu,3903953,"Rìu, Đàn, Cúc",66500,4.4,5,None
Sách tiếng Việt ,"Truyện Tranh, Manga, Comic",512406,Magic Kaito - Treasured Edition (Tập 1),22250,4.3,25,512407;512409;512411;414810;
Văn học Việt Nam,Lý luận - Phê bình,2158833,Combo Chuyện Đông Chuyện Tây (Trọn Bộ 4 Cuốn),607200,4.8,10,2202111;2202105;2202109;2120579;
Sách tiếng Việt ,Sách Học Ngoại Ngữ,448370,Tài Liệu Luyện Thi Năng Lực Tiếng Nhật N4 Ngữ Pháp,74000,4.8,11,None
Sách tiếng Việt ,Sách văn học,469608,Những Năm Tháng Yêu Lầm,68000,4.2,33,None
Fiction - Literature,Science Fiction & Fantasy,924024,Harry Potter Boxed Set: The Hogwarts Library (Hardback),698000,4.9,15,923806;923800;904326;923814;
Sách tiếng Việt ,Sách kỹ năng - Sống đẹp,392605,Vận Dụng Ngôn Ngữ Cơ Thể Mới,210800,4.8,15,555486;407348;686433;540160;
Văn học nước ngoài,Truyện ngắn,1420371,Có Một Phố Vừa Đi Qua Phố (Tái Bản),51000,4.7,7,1420369;1376391;1405575;
Sách Bà mẹ - Em bé,Sách Thai Giáo,2796921,Mẹ Nhật Thai Giáo,48000,4,2,None
Văn học Việt Nam,Truyện trinh thám - Phiêu lưu,3656207,Biểu Tượng Thất Truyền,127000,4.5,4,None
Sách tiếng Việt ,Sách kinh tế,545618,Làm Quen Kinh Tế Học Qua Biếm Họa (Tập 2) - Kinh Tế Vĩ Mô,66750,4.9,6,545610;545638;560011;373567;
Sách tiếng Việt ,Sách thiếu nhi ,548570,Ehon - Thực Phẩm Tâm Hồn Cho Bé - Xe Bus Píng Poong Đi Biển,35100,4.9,9,548571;548573;548572;
Sách văn học,Tiểu thuyết tình cảm,602850,Trao Em Mặt Trời,82500,5,13,None
Sách văn học,Light novel,4819073,"Diệt Slime Suốt 300 Năm, Tôi Levelmax Lúc Nào Chẳng Hay (Tập 4)",77250,5,13,None
Sách kinh tế,Bài học kinh doanh,2296365,Dave Trott Bàn Về Sáng Tạo & Thương Hiệu,141000,4.3,8,2254425;2254427;2345345;
Văn phòng phẩm - Quà lưu niệm,Bút Chì Màu - Bút Lông Màu - Sáp Màu,452493,Khay Đựng Màu Vẽ Mesa MP-4,10000,4.6,13,None
Văn phòng phẩm - Quà lưu niệm,Flashcards,484571,Flashcard Tiếng Việt - Từ Đơn,188000,4.5,2,None
Sách kinh tế,Sách kinh tế học,2232357,Tạo Lập Kế Hoạch Kinh Doanh Hoàn Hảo,68000,5,4,2149531;2149529;2149527;2287441;
Sách văn học,Tác phẩm kinh điển,2728729,Bộ Hộp Đông Chu Liệt Quốc (Trọn Bộ 3 Tập),450000,4.8,13,None
Sách tiếng Việt ,Sách kỹ năng - Sống đẹp,361810,Sức Mạnh Của Trí Tuệ Xã Hội,33000,4.7,17,342006;385239;486589;346723;
Sách tiếng Việt ,Sách Học Ngoại Ngữ,405634,Collins - Listening for IELTS (Kèm 2 Audio CDs),122400,4.3,11,581550;407585;365800;437968;
Văn học Việt Nam,Truyện ngắn – Tản văn ,837128,Nhà Có Hai Người,96750,4.4,14,None
Sách kỹ năng - Sống đẹp,Sách tư duy - Kỹ năng sống,1533435,Điểm Bùng Phát (Tái Bản 2018),112000,4,3,1533429;1533431;1542481;1527505;
Sách tiếng Việt ,Sách kinh tế,413635,1% và 99% Tài Năng Và Mồ Hôi Nước Mắt (Tái Bản 2014),77200,4.6,13,None
Sách kinh tế,Sách doanh nhân,859141,Warren Buffett - Quá Trình Hình Thành Một Nhà Tư Bản Mỹ (Tái Bản 2017),174300,4.4,8,927195;809801;922385;951569;
Sách tiếng Việt ,Sách kinh tế,417724,Sách Dạy Đọc Nhanh (Tái Bản 2014),193800,4,24,None
Sách tiếng Việt ,Sách Bà mẹ - Em bé,479630,Dưới Sao Mẹ Kể Con Nghe,47450,4.5,14,479609;787661;425939;
Sách thiếu nhi ,Mẫu giáo (0 - 6 tuổi),566072,Bộ Sách Rèn Luyện Trí Thông Minh - Phát Triển Trí Tuệ 1088 Câu Đố - Dành Cho Trẻ Từ 4 Đến 5 Tuổi (Tập 1),31500,4,1,566075;566078;571117;625351;
Sách tiếng Việt ,Sách kỹ năng - Sống đẹp,562285,Bí Mật Của Nước (Tái Bản),111000,4.7,8,547520;568131;339920;
Văn phòng phẩm - Quà lưu niệm,Dụng Cụ Văn Phòng,394438,Giấy Excel A4 DL80,67000,4.1,20,None
Sách tiếng Việt ,Sách văn học,369295,Để Thành Nhà Văn,24000,4.3,21,429687;1007804;1007580;687557;
Sách văn học,Văn học nước ngoài,914768,Những Cuộc Phiêu Lưu Của Tom Sawyer,35000,3.3,17,914774;478617;519905;596833;
Sách kỹ năng - Sống đẹp,Sách tư duy - Kỹ năng sống,2014919,Nếu... Thì,94170,4.7,6,2014917;2014915;2014905;1928361;
Văn phòng phẩm - Quà lưu niệm,Dụng Cụ Văn Phòng,272352,Bìa 2 Kẹp A4 Yp 612,34000,4.8,9,None
Sách tiếng Việt ,Sách văn học,561923,NO.6 - Tập 1,38500,4.8,15,472480;443069;455217;409539;
Sách tiếng Việt ,Sách văn học,441836,Trở Về Eden (Đinh Tị),97300,4.1,32,471332;450379;407927;471328;
Sách tiếng Việt ,Sách văn học,546483,Thời Gian Chỉ Dừng Lại Vì Em,120000,4,40,None
Sách kỹ năng - Sống đẹp,Sách tư duy - Kỹ năng sống,1533429,Trong Chớp Mắt (Tái Bản 2018),104000,4.5,2,1533435;1542481;1533431;1527505;
Sách tiếng Việt ,"Truyện Tranh, Manga, Comic",921142,Sailormoon - Thủy Thủ Mặt Trăng (Tập 11),22250,5,9,814920;970260;990114;
Sách tiếng Việt ,Sách Tôn Giáo - Tâm Linh,576363,Mỗi Ngày Trọn Một Niềm Vui,51000,5,3,582420;908594;602661;
Sách tiếng Việt ,Sách Y Học,1453823,Căn Bản Về Tiểu Phẫu,115500,5,2,1453829;1453821;1453831;
Sách Tham Khảo,Combo Sách Tham Khảo,816802,Combo Cùng Khủng Long Học Toán Siêu Đẳng Lớp 1 (Tặng Kèm Sổ Tay Ma Thuật A5),124800,5,1,816980;816850;816896;705503;
Sách tiếng Việt ,Sách Tôn Giáo - Tâm Linh,2902217,Ngôn Ngữ Của Chúa (Tái Bản 2018),88500,5,1,None
Sách kinh tế,Bài học kinh doanh,2776871,Chốt Sales – Đàm Phán Thành Công,78000,5,1,None
Sách thiếu nhi ,Truyện tranh Ehon,1218731,Ehon Nhật Bản - Cùng Lau Cho Sạch Nào (Tái Bản),18000,0,0,1218729;831413;831415;
Sách tiếng Việt ,Sách kinh tế,427631,Tầm Nhìn Thay Đổi Quốc Gia,152600,4.4,16,515871;470745;444494;593366;
Sách tiếng Việt ,Sách văn học,418491,Vĩnh Dạ Tập 1,93000,4.5,21,362768;473159;413535;464998;
Sách tiếng Việt ,Sách Y Học,643523,Nhân Tố Vi Sinh (Tái Bản),150000,4.3,11,656003;703669;656507;
Sách văn học,Tiểu thuyết tình cảm,599949,"Siêu Lầy, Siêu Nai Và Điện Giật",59500,4.4,23,713999;385824;816166;596907;
Sách tiếng Việt ,Sách văn học,451710,Liên Hoa Lâu (Tập 3): Thanh Long Quyển,71540,4.5,20,458133;423779;361784;
Sách tiếng Việt ,"Truyện Tranh, Manga, Comic",393999,Doraemon - Truyện Dài - Tập 7 - Nobita Và Binh Đoàn Người Sắt (2014),14240,4.9,12,393911;393995;393987;393931;
Sách tiếng Việt ,Sách thiếu nhi ,472390,Nha Sĩ Yêu Quái,69000,4.5,18,565846;527047;378951;
Sách tiếng Việt ,Sách kỹ năng - Sống đẹp,486483,Bí Mật Ngôn Ngữ Cơ Thể (Tái Bản 2016),47000,4.4,8,543197;575282;475851;
Sách tiếng Việt ,Sách thiếu nhi ,505795,Bộ Sách An Toàn Cho Con Yêu - Không Là không,26250,4.4,12,505803;505808;551010;551012;
